NR;extra10000_100;extra10000_1000;extra10000_10000
1;1.00;1.00;1.00
2;1.93;1.93;1.93
4;3.45;3.43;3.42
8;5.78;5.74;5.74
20;9.18;9.07;9.12
32;10.24;10.15;10.22
40;10.97;10.92;10.76
