NR;extra1000_100;extra1000_1000;extra1000_10000
1;0.98;0.98;0.99
2;1.76;1.74;1.73
4;1.9;1.91;1.89
8;2.12;2.12;2.13
20;2.2;2.21;2.23
32;2.37;2.36;2.4
40;2.55;2.5;2.53
