NR;extra0_100;extra0_1000;extra0_10000
1;0.92;0.91;0.95
2;1.51;1.46;1.48
4;1.27;1.26;1.25
8;1.08;1.08;1.07
20;0.96;0.95;0.96
32;1.20;1.17;1.22
40;1.32;1.31;1.34
