NR;extra10000_100;extra10000_1000;extra10000_10000
1;0.99;1.00;1.00
2;1.93;1.93;1.92
4;3.52;3.53;3.53
8;5.99;6.00;5.99
16;8.70;8.69;8.65
32;10.22;10.18;10.25
