NR;extra0_100;extra0_1000;extra0_10000
1;0.93;0.90;0.97
2;1.28;1.50;1.42
4;1.49;1.65;1.52
8;1.34;1.34;1.37
16;1.27;1.03;1.39
32;1.27;1.23;1.25
