NR;extra0_100;extra0_1000;extra0_10000
1;0.93;0.95;0.99
2;1.22;1.30;1.29
4;1.34;1.34;1.37
8;1.20;1.15;1.20
16;1.08;1.15;1.10
32;1.42;1.35;1.45
64;1.44;1.52;1.63
