NR;extra10000_100;extra10000_1000;extra10000_10000
1; 1.00; 1.00; 1.00
2; 1.89; 1.89; 1.90
4; 3.29; 3.29; 3.29
8; 5.05; 5.19; 5.09
16; 7.20; 7.20; 7.22
32; 9.60; 9.64; 9.71
64; 9.59; 9.53; 9.73
