NR;extra1000_100;extra1000_1000;extra1000_10000
1; 0.99; 0.99; 1.00
2; 1.50; 1.53; 1.47
4; 1.89; 1.83; 1.81
8; 1.85; 1.84; 1.81
16; 1.76; 1.71; 1.73
32; 2.07; 2.04; 2.11
64; 2.28; 2.22; 2.29
