NR;low_c1;low_c16;eq_c1;eq_c16;high_c1;high_c16
1;1.00;1.00;1.00;1.00;1.00;1.00
2;2.00;1.95;2.00;1.94;1.99;1.95
4;3.97;3.68;3.98;3.66;3.96;3.69
8;7.87;6.53;7.89;6.56;7.80;6.43
20;19.05;11.52;19.24;11.90;18.54;10.88
32;29.47;15.12;30.04;16.24;28.16;13.26
40;35.86;15.12;36.69;16.24;33.92;13.26
