NR;extra10000_100;extra10000_1000;extra10000_10000
1;0.99;0.99;1.00
2;1.91;1.90;1.89
4;3.60;3.52;3.50
8;6.02;6.00;5.96
16;8.42;8.72;8.63
32;10.18;10.25;10.32
