NR;extra1000_100;extra1000_1000;extra1000_10000
1;0.98;0.98;0.98
2;1.59;1.67;1.74
4;2.00;2.01;2.03
8;2.24;2.23;2.22
16;2.30;2.31;2.30
32;2.44;2.41;2.45
