NR;extra0_100;extra0_1000;extra0_10000
1;0.94;0.92;0.94
2;1.58;1.47;1.49
4;1.47;1.45;1.42
8;1.20;1.20;1.18
16;1.02;1.03;1.03
32;1.23;1.28;1.26
